url,date,false_claim
https://faktantarkistus.afp.com/doc.afp.com.336X73J,2024-04-17,Hungarian Prime Minister Viktor Orban announced in a New Year’s speech that Hungary will exit the European Union.
https://facta.news/antibufale/2023/03/23/putin-xi-jinping-baciamano/,2023-03-23,AI-generated images portray Putin on his knees kissing the hand of Xi Jinping.
https://poligrafo.sapo.pt/fact-check/video-no-facebook-finlandia-esta-a-transportar-tanques-para-a-fronteira-com-a-russia,2022-05-07,Finland is moving military equipment to its Eastern border with Russia.
https://correctiv.org/faktencheck/2024/01/19/bauernprotest-in-berlin-nein-die-russische-botschaft-schaltete-keine-sirene-ein-um-solidaritaet-zu-zeigen/,2024-01-19,The Russian Embassy in Berlin turned on a siren to show solidarity with the farmers' protest.
https://epl.delfi.ee/artikkel/120276516/faktikontroll-euroopa-liit-ei-plaani-keelata-vanade-autode-remontimist,2024-03-09,The European Commission is considering a ban on repairing vehicles over 15 years old.
https://facta.news/antibufale/2023/09/27/bill-gates-tagliare-alberi/,2023-09-27,Bill Gates promoted a controversial plan to cut 70 million acres of trees to combat climate change.
https://www.newtral.es/foto-trump-arrestado-washington/20230322/,2023-03-24,Images showing Trump being arrested.
https://www.dw.com/de/faktencheck-was-hat-es-mit-der-propaganda-%C3%BCber-ukrainische-nazis-auf-sich/a-63884576,2022-11-25,Claims of Ukrainian supporters displaying Nazi symbols during the Qatar World Championship.
https://verifica.efe.com/ue-no-autoriza-anadir-insecto-alimentos/?utm_medium=Social&utm_source=Twitter#Echobox=1675697252,2023-02-06,The EU intends to mandate its citizens to consume insects as food.
"https://demagog.sk/mamografiu-vo-svajciarsku-nezakazali,-toto-vysetrenie-je-dolezite-pre-vcasnu-diagnostiku-rakoviny-prsnika",2023-11-30,Mammography has been banned in Switzerland due to concerns that it can cause breast cancer and that more than half of the test results are incorrect.
https://facta.news/immagine-modificata/2022/12/14/polonia-mateusz-morawiecki-stepan-bandera/,2022-12-14,"An image shows Polish Prime Minister Mateusz Morawiecki at a Bandera monument in Kiev, which has been misrepresented."
https://maldita.es/malditobulo/20220517/ucrania-eurovision-saludo-nazi/,2022-05-17,The Ukrainian group Kalush Orchestra made a Nazi salute at the Eurovision song contest.
https://www.knack.be/factcheck/factcheck-nee-oekraiense-oud-minister-van-defensie-niet-,2023-09-14,A photo of former Ukrainian Defense Minister Reznikov drinking champagne on a yacht was taken after his resignation.
https://faktencheck.afp.com/doc.afp.com.33DJ4LX,2024-04-17,A billboard in Milan displayed Zelensky with a hole in his nose 'sniffing' banknotes.
https://epl.delfi.ee/artikkel/120259923/faktikontroll-ei-zelenskoi-ei-ostnud-hitleri-propagandaministri-goebbelsi-villat,2024-01-04,Ukrainian President Volodymyr Zelensky purchased a villa near Berlin that previously belonged to Nazi propaganda minister Joseph Goebbels.
https://facta.news/antibufale/2023/11/29/washington-post-hamas-armi-ucraina/,2023-11-29,The Washington Post published an article about weapons supplies from Ukraine to Hamas.
https://fakty.afp.com/doc.afp.com.32M23KH,2024-04-17,"Claims that Erik Olsen, the lead investigator of the Nord Stream gas pipeline sabotage, died before revealing secrets about the investigation."
https://facta.news/fuori-contesto/2023/01/09/grafico-temperatura-9500-anni/,2023-01-09,A graph indicates that the current Earth temperature is among the lowest ever recorded.
https://factuel.afp.com/doc.afp.com.328L7M4,2024-04-17,There is pro-Russia and pro-Ukraine war propaganda circulating.
https://napravoumiru.afp.com/doc.afp.com.34YM9XQ,2024-06-25,Romanian football fans shouted pro-Putin slogans during a Euro 2024 match.
https://www.lakmusz.hu/dekriminalizalna-a-pedofiliat-az-ensz-kerdezi-a-magyar-nemzet-valojaban-ilyen-tervrol-szo-sincs/,2023-04-30,UN asked for the decriminalization of pedophilia in Hungary.
https://correctiv.org/faktencheck/hintergrund/2024/06/03/diese-falschbehauptungen-kursieren-zur-europawahl-2024/,2024-06-03,There is widespread content claiming that the EU Elections have been rigged.
https://www.newtral.es/agricultores-paja-torre-eiffel/20240215/,2024-02-15,Images shows haystacks and tractors in front of the Eiffel Tower in Paris.
https://facta.news/antibufale/2024/01/08/norvegia-bus-elettrici-freddo/,2024-01-08,"The majority of electric buses in Norway were blocked by cold weather, leading to traffic paralysis in Oslo."
https://facta.news/antibufale/2024/04/09/hemicycle-copertina-macron-gallo/,2024-04-09,The cover depicts Macron as a plucked rooster.
https://facta.news/fuori-contesto/2023/06/26/simpson-sommergibile-titan/,2023-06-26,The Simpsons predicted the Titan submarine crash.
https://factuel.afp.com/doc.afp.com.32DU2HQ,2024-04-17,Out-of-context pictures of the festival field in Glastonbury after Greta Thunberg’s performance.
https://www.newtral.es/cnn-explosion-ucrania/20220323/,2023-03-24,Evidence suggests electoral fraud in France.
https://demagog.cz/diskuze/zdvizena-pravice-borise-johnsona-je-fotomontaz,2013-01-01,Boris Johnson is depicted making a Nazi salute during a public ceremony in Ukraine.
https://faktantarkistus.afp.com/doc.afp.com.328J97B,2024-04-17,Ukrainians and Ukrainian forces are characterized as largely Nazi.
https://www.faktisk.no/artikler/jyy86/her-er-konspirasjonsteoriene-om-apekopper,2022-06-03,Bill Gates foresaw a pandemic of the monkeypox virus.
https://proveri.afp.com/doc.afp.com.34KY8J8,2024-03-13,Ursula von der Leyen is related to a Nazi official.
https://facta.news/antibufale/2023/10/11/bbc-ucraina-armi-hamas/,2023-10-11,Allegations that the BBC reported Ukraine sending weapons to Hamas circulate widely.
https://facta.news/fuori-contesto/2023/07/04/stabilimento-zanzare-colombia/,2023-07-04,A Bill Gates’ lab in Colombia creates genetically modified species of mosquitoes.
https://www.newtral.es/bulo-acuerdo-abolir-agricultura/20230623/,2023-06-26,The US and 12 other countries signed a deal to eliminate agriculture to counter climate change.
https://fakty.afp.com/doc.afp.com.32DW4QX,2024-04-17,The missile attack on the Amstor shopping center in Kremenchuk was a Ukrainian set-up to falsely accuse Russia.
https://proveri.afp.com/doc.afp.com.32CY942,2024-04-17,"Eugen Schwab, father of Klaus Schwab, was a close confidante of Hitler."
https://facta.news/fuori-contesto/2023/01/30/germania-treno-carri-armati-leopard/,2023-01-30,A video has surfaced showing a delivery of German Leopard tanks to Ukraine.
https://www.newtral.es/participacion-ucrania-ataque-moscu-oleksiy-danilov/20240323/,2024-03-23,"A Ukrainian official admits the country's responsibilities in a Moscow terror attack, which is actually a deep fake."
https://fakty.afp.com/doc.afp.com.347Q6NR,2024-04-17,A plane in wintry weather was frozen on the runway heading to the Dubai climate change conference.
https://facta.news/fuori-contesto/2022/12/09/time-zelensky-hitler/,2022-12-09,"A TIME magazine cover juxtaposes Zelensky as 'person of the year' with a cover of Hitler from the 1930s, implying a parallel nomination."
https://fakty.afp.com/doc.afp.com.34TL3D3,2024-05-23,The wife of the shooter who attacked Slovak Prime Minister Fico is a Ukrainian refugee.
https://facta.news/fuori-contesto/2022/06/14/lecdc-non-collega-il-vaiolo-delle-scimmie-ai-laboratori-ucraini/,2022-06-14,ECDC has evidence of a link between monkeypox and a bioweapons laboratory in Ukraine.
https://www.factchecker.gr/2023/03/05/fake-picture-of-leopard-tank-allegedly-in-ukraine/,2023-03-05,False videos and images circulated about Leopard tanks allegedly in Ukraine.
https://epl.delfi.ee/artikkel/120304177/faktikontroll-kohus-ei-otsustanud-et-covid-19-vastane-vaktsiin-pole-paris-vaktsiin,2024-06-30,A US court ruled that Covid-19 vaccines are not vaccines.
https://maldita.es/malditobulo/20240220/ucrania-matar-macron-rusia-francia-France24/,2024-02-20,A deepfake of France24 announcing that President Emmanuel Macron canceled a visit to Kyiv due to an alleged Ukrainian plot to kill him.
https://rus.delfi.ee/statja/120299133/pravda-li-chto-zelenskiy-kupil-kazino-na-severnom-kipre,2024-06-08,Zelensky has reportedly purchased a hotel-casino in Cyprus.
https://correctiv.org/faktencheck/2024/07/18/italienischer-sportjournalist-faelschlich-als-trump-attentaeter-beschuldigt/,2024-07-18,The shooter who targeted Donald Trump was either affiliated with Antifa or a registered Democratic Party member.
https://ru.rebaltica.lv/archives/4764,2023-02-16,The EU wants to force its citizens to eat insects.
https://dpa-factchecking.com/germany/240404-99-563137/,2024-04-08,A false claim that Zelensky bought the Highgrove House from the British Royal Family.
https://ru.rebaltica.lv/archives/4057,2022-04-25,Ukrainian refugees are stigmatized as violent and fascist.
https://facta.news/notizia-falsa/2022/09/16/simpson-regina-elisabetta-profezia/,2022-09-16,The Simpsons predicted the year of Queen Elizabeth II's death.
https://facta.news/antibufale/2023/08/08/germania-previsioni-meteo-fiamme/,2023-08-08,A German weather forecast aired an image of a map with temperatures and burning flames.
https://facta.news/antibufale/2023/12/06/tunnel-al-shifa-gaza-armi/,2023-12-06,Images show guns outside the Shifa hospital in the Gaza Strip.
https://fakty.afp.com/doc.afp.com.33UD7BP,2024-04-17,Ukrainian refugees are reportedly beating Polish citizens for refusing to say 'Slava Ukraini.'
